Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
65afe96581d2455a40130bef,5e27090295479b000b531b42,APPROVED,2024-01-23T16:29:33.153000Z,2024-01-23T16:37:19.698000Z,2024-01-23T16:37:20.334000Z,2024-01-23T16:37:21.192877Z,467.0,C107BK71,202,65,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED,
65afe97a163bb9c17bb429e2,63cfee999726ef51aaa058e7,APPROVED,2024-01-23T16:29:52.900000Z,2024-01-23T16:36:28.189000Z,2024-01-23T16:36:28.970000Z,2024-01-23T16:36:29.594025Z,396.0,C107BK71,200,20,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking),
65afe97e8ede820e6632e911,5ed96d809d0c93500acfc536,APPROVED,2024-01-23T16:29:54.095000Z,2024-01-23T16:37:16.349000Z,2024-01-23T16:37:16.905000Z,2024-01-23T16:37:17.110696Z,443.0,C107BK71,412,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",
65afe9b5ae0eecce0e5d43be,643925781d697281c5d19a54,APPROVED,2024-01-23T16:30:50.659000Z,2024-01-23T16:36:58.701000Z,2024-01-23T16:36:59.299000Z,2024-01-23T16:36:59.674904Z,369.0,C107BK71,144,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
65afe9c2bab219fccdcf597b,6077dd4c0a8ff92267e84b6e,APPROVED,2024-01-23T16:31:02.039000Z,2024-01-23T16:40:52.369000Z,2024-01-23T16:40:52.964000Z,2024-01-23T16:40:53.297829Z,591.0,C107BK71,741,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,
65afe9ccc4fc278c2482d4a3,65294fb1b73b0edd4fd93f95,APPROVED,2024-01-23T16:31:12.683000Z,2024-01-23T16:36:38.992000Z,2024-01-23T16:36:39.887000Z,2024-01-23T16:36:40.259417Z,327.0,C107BK71,60,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
65afe9d6955f91501c8a341f,62da781f566f47fe43284532,APPROVED,2024-01-23T16:31:22.916000Z,2024-01-23T16:41:56.397000Z,2024-01-23T16:41:57.089000Z,2024-01-23T16:41:57.707384Z,634.0,C107BK71,519,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
65afe9deae0f0171fac815a7,5ea87946e363ce2b126ad459,APPROVED,2024-01-23T16:31:33.739000Z,2024-01-23T16:37:10.771000Z,2024-01-23T16:37:11.378000Z,2024-01-23T16:37:11.832445Z,338.0,C107BK71,349,32,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,
65afe9e4ad8e0689f11ae115,5e03f39399b282ec7ad779cb,RETURNED,2024-01-23T16:31:42.701000Z,,,2024-03-01T10:21:34.921439Z,,,442,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
65afea0a7f8c8f7e019efa02,5d9261e776e8dd00195f28f2,APPROVED,2024-01-23T16:32:15.247000Z,2024-01-23T16:37:53.778000Z,2024-01-23T16:37:54.396000Z,2024-01-23T16:37:54.695632Z,339.0,C107BK71,1615,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,
