Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65ee061e143b6e691993e39e,6155dc72da2084bd9ba141ea,APPROVED,Not Applicable,2024-03-10T19:12:36.806000Z,2024-03-10T19:20:35.268000Z,2024-03-10T19:22:07.476000Z,2024-03-10T19:22:46.225416Z,479.0,C107BK71,72,23,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,DATA_EXPIRED
65ee0630587d6fd0d789bf4e,63d79f49175ff7b8a55787b7,APPROVED,Not Applicable,2024-03-10T19:12:52.429000Z,2024-03-10T19:20:32.265000Z,2024-03-10T19:22:02.177000Z,2024-03-10T19:22:46.110420Z,460.0,C107BK71,419,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65ee065580fac1f92160452d,5f98a1ee466c461ab0067571,APPROVED,Not Applicable,2024-03-10T19:13:29.689000Z,2024-03-10T19:24:02.153000Z,2024-03-10T19:24:02.849000Z,2024-03-10T19:24:03.164226Z,633.0,C107BK71,618,60,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65ee0658dab4b33aaf29dc99,652d3445e73248b2b005562e,RETURNED,Not Applicable,2024-03-10T19:13:32.857000Z,2024-03-10T19:20:18.796000Z,,2024-03-11T10:09:36.915135Z,,C1BH0PQA,273,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65ee065bc8e8f2adb9b28a59,60ddeacc693179f2927c6c74,APPROVED,Not Applicable,2024-03-10T19:13:34.197000Z,2024-03-10T19:19:55.234000Z,2024-03-10T19:21:59.554000Z,2024-03-10T19:22:45.467140Z,382.0,C107BK71,387,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65ee065f0439c1d89f5b0f4f,5b6f178df7ed9d000153bd9c,APPROVED,Not Applicable,2024-03-10T19:13:39.404000Z,2024-03-10T19:21:57.624000Z,2024-03-10T19:22:45.593000Z,2024-03-10T19:22:49.254414Z,499.0,C107BK71,702,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65ee065facf6f0acb7cfaf61,63e51c24eb8428aa44a3a474,APPROVED,Not Applicable,2024-03-10T19:13:44.211000Z,2024-03-10T19:26:34.025000Z,2024-03-10T19:26:34.632000Z,2024-03-10T19:26:35.264153Z,770.0,C107BK71,208,49,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
65ee0663bc066fbabece1d8b,6400dde611c4534903252cba,APPROVED,Not Applicable,2024-03-10T19:13:42.851000Z,2024-03-10T19:39:34.885000Z,2024-03-10T19:39:35.613000Z,2024-03-10T19:39:35.737869Z,1553.0,C107BK71,1009,23,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
65ee066d5e3f0082321d2887,5422ae1afdf99b328c91b203,RETURNED,Not Applicable,2024-03-10T19:16:33.386000Z,,,2024-03-11T10:09:36.915302Z,,,2569,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65ee0670985f986f5062cc82,59aaa1000acd5600012ebfb5,APPROVED,Not Applicable,2024-03-10T19:13:56.913000Z,2024-03-10T19:22:53.094000Z,2024-03-10T19:22:53.605000Z,2024-03-10T19:22:53.715438Z,537.0,C107BK71,608,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
